    xt           yt
  0.22   0.21697935
  0.21   0.21237155
  0.21   0.20773345
  0.21   0.20307920
  0.20   0.19842387
  0.20   0.19378322
  0.19   0.18917344
  0.19   0.18461089
  0.18   0.18011191
  0.18   0.17569250
  0.17   0.17136816
  0.17   0.16715364
  0.17   0.16306278
  0.16   0.15910834
  0.16   0.15530181
  0.15   0.15165335
  0.15   0.14817164
  0.15   0.14486386
  0.14   0.14173562
  0.14   0.13879091
  0.14   0.13603218
  0.13   0.13346030
  0.13   0.13107464
  0.13   0.12887313
  0.13   0.12685234
  0.13   0.12500757
  0.12   0.12333299
  0.12   0.12182171
  0.12   0.12046593
  0.12   0.11925709
  0.12   0.11818595
  0.12   0.11724275
  0.12   0.11641735
  0.12   0.11569934
  0.12   0.11507817
  0.11   0.11454326
  0.11   0.11408414
  0.11   0.11369051
  0.11   0.11335239
  0.11   0.11306016
  0.11   0.11280471
  0.11   0.11257745
  0.11   0.11237044
  0.11   0.11217641
  0.11   0.11198884
  0.11   0.11180199
  0.11   0.11161097
  0.11   0.11141175
  0.11   0.11120121
  0.11   0.11097713
  0.11   0.11073821
  0.11   0.11048412
  0.11   0.11021541
  0.11   0.10993356
  0.11   0.10964094
  0.11   0.10934075
  0.11   0.10903704
  0.11   0.10873458
  0.11   0.10843883
  0.11   0.10815588
  0.11   0.10789235
  0.11   0.10765531
  0.11   0.10745215
  0.11   0.10729051
  0.11   0.10717814
  0.50   0.50243824
  0.50   0.50468299
  0.51   0.50731886
  0.51   0.51034160
  0.51   0.51374019
  0.52   0.51749715
  0.52   0.52158886
  0.52   0.52598610
  0.53   0.53065466
  0.53   0.53555604
  0.54   0.54064824
  0.54   0.54588657
  0.55   0.55122458
  0.55   0.55661496
  0.56   0.56201042
  0.56   0.56736462
  0.57   0.57263299
  0.58   0.57777357
  0.58   0.58274772
  0.59   0.58752079
  0.59   0.59206262
  0.59   0.59634806
  0.60   0.60035724
  0.60   0.60407578
  0.61   0.60749493
  0.61   0.61061146
  0.61   0.61342758
  0.61   0.61595063
  0.62   0.61819273
  0.62   0.62017035
  0.62   0.62190372
  0.62   0.62341625
  0.62   0.62473391
  0.63   0.62588451
  0.63   0.62689698
  0.63   0.62780071
  0.63   0.62862483
  0.63   0.62939756
  0.63   0.63014558
  0.63   0.63089349
  0.63   0.63166333
  0.63   0.63247411
  0.63   0.63334156
  0.63   0.63427783
  0.63   0.63529137
  0.64   0.63638688
  0.64   0.63756533
  0.64   0.63882409
  0.64   0.64015713
  0.64   0.64155528
  0.64   0.64300662
  0.64   0.64449678
  0.65   0.64600945
  0.65   0.64752680
  0.65   0.64902997
  0.65   0.65049953
  0.65   0.65191597
  0.65   0.65326012
  0.65   0.65451363
  0.66   0.65565927
  0.66   0.65668133
  0.66   0.65756588
  0.66   0.65830096
  0.66   0.65887679
  0.66   0.65928583
  0.66   0.65952282
  0.66   0.65958476
  0.66   0.65947085
  0.66   0.65918231
  0.66   0.65872222
  0.66   0.65809533
  0.66   0.65730779
  0.66   0.65636688
  0.66   0.65528075
  0.65   0.65405812
  0.65   0.65270802
  0.65   0.65123954
  0.65   0.64966156
  0.65   0.64798254
  0.65   0.64621037
  0.65   0.64435219
  0.64   0.64241433
  0.64   0.64040218
  0.64   0.63832023
  0.64   0.63617207
  0.64   0.63396043
  0.63   0.63168725
  0.63   0.62935387
  0.63   0.62696107
  0.63   0.62450930
  0.62   0.62199882
  0.62   0.61942985
  0.62   0.61680276
  0.62   0.61411821
  0.61   0.61137729
  0.61   0.60858162
  0.61   0.60573348
  0.60   0.60283579
  0.60   0.59989222
  0.60   0.59690709
  0.60   0.59388538
  0.59   0.59083264
  0.59   0.58775484
  0.59   0.58465826
  0.58   0.58154931
  0.58   0.57843432
  0.58   0.57531936
  0.57   0.57221005
  0.57   0.56911129
  0.57   0.56602712
  0.56   0.56296052
  0.56   0.55991321
  0.56   0.55688558
  0.56   0.55387651
  0.55   0.55088339
  0.55   0.54790204
  0.55   0.54492676
  0.54   0.54195039
  0.54   0.53896444
  0.54   0.53595926
  0.53   0.53292421
  0.53   0.52984794
  0.53   0.52671867
  0.53   0.52352445
  0.52   0.52025351
  0.52   0.51689462
  0.52   0.51343736
  0.51   0.50987253
  0.51   0.50619238
  0.50   0.50239097
  0.50   0.49846441
  0.50   0.49441106
  0.49   0.49023172
  0.49   0.48592975
  0.48   0.48151113
  0.48   0.47698449
  0.47   0.47236100
  0.47   0.46765433
  0.47   0.46288039
  0.46   0.45805717
  0.46   0.45320443
  0.45   0.44834335
  0.45   0.44349619
  0.44   0.43868589
  0.44   0.43393563
  0.43   0.42926842
  0.43   0.42470669
  0.42   0.42027179
  0.42   0.41598369
  0.41   0.41186055
  0.41   0.40791837
  0.41   0.40417076
  0.40   0.40062866
  0.40   0.39730019
  0.40   0.39419053
  0.39   0.39130190
  0.39   0.38863356
  0.39   0.38618190
  0.39   0.38394062
  0.38   0.38190097
  0.38   0.38005194
  0.38   0.37838070
  0.38   0.37687286
  0.38   0.37551293
  0.37   0.37428473
  0.37   0.37317179
  0.37   0.37215779
  0.37   0.37122698
  0.37   0.37036460
  0.37   0.36955718
  0.37   0.36879293
  0.37   0.36806198
  0.37   0.36735660
  0.37   0.36667137
  0.37   0.36600326
  0.37   0.36535166
  0.37   0.36471836
  0.36   0.36410741
  0.36   0.36352498
  0.36   0.36297910
  0.36   0.36247942
  0.36   0.36203688
  0.36   0.36166332
  0.36   0.36137115
  0.36   0.36117290
  0.36   0.36108086
  0.36   0.36110669
  0.36   0.36126099
  0.36   0.36155303
  0.36   0.36199040
  0.36   0.36257872
  0.36   0.36332149
  0.36   0.36421993
  0.36   0.36527285
  0.37   0.36647668
  0.37   0.36782552
  0.37   0.36931121
  0.37   0.37092360
  0.37   0.37265070
  0.37   0.37447903
  0.38   0.37639397
  0.38   0.37838012
  0.38   0.38042169
  0.38   0.38250299
  0.38   0.38460879
  0.39   0.38672480
  0.39   0.38883807
  0.39   0.39093734
  0.39   0.39301344
  0.39   0.39505952
  0.40   0.39707137
  0.40   0.39904751
  0.40   0.40098936
  0.40   0.40290126
  0.40   0.40479042
  0.41   0.40666682
  0.41   0.40854301
  0.41   0.41043387
  0.41   0.41235628
  0.41   0.41432874
  0.42   0.41637097
  0.42   0.41850341
  0.42   0.42074677
  0.42   0.42312150
  0.42   0.42564728
  0.43   0.42834255
  0.43   0.43122396
  0.43   0.43430600
  0.44   0.43760054
  0.44   0.44111650
  0.44   0.44485953
  0.45   0.44883182
  0.45   0.45303193
  0.46   0.45745471
  0.46   0.46209132
  0.46   0.46692933
  0.47   0.47195286
  0.47   0.47714282
  0.48   0.48247724
  0.49   0.48793164
  0.49   0.49347945
  0.50   0.49909248
  0.50   0.50474141
  0.51   0.51039637
  0.51   0.51602740
  0.52   0.52160505
  0.52   0.52710087
  0.53   0.53248792
  0.54   0.53774121
  0.54   0.54283813
  0.55   0.54775883
  0.55   0.55248646
  0.55   0.55700745
  0.56   0.56131164
  0.56   0.56539240
  0.57   0.56924657
  0.57   0.57287444
  0.57   0.57627962
  0.58   0.57946879
  0.58   0.58245145
  0.58   0.58523961
  0.59   0.58784741
  0.59   0.59029071
  0.59   0.59258668
  0.59   0.59475331
  0.60   0.59680900
  0.60   0.59877208
  0.60   0.60066041
  0.60   0.60249094
  0.60   0.60427935
  0.61   0.60603971
  0.61   0.60778419
  0.61   0.60952286
  0.61   0.61126347
  0.61   0.61301137
  0.61   0.61476942
  0.62   0.61653803
  0.62   0.61831519
  0.62   0.62009663
  0.62   0.62187593
  0.62   0.62364479
  0.62   0.62539322
  0.63   0.62710987
  0.63   0.62878231
  0.63   0.63039734
  0.63   0.63194132
  0.63   0.63340051
  0.63   0.63476134
  0.64   0.63601075
  0.64   0.63713644
  0.64   0.63812711
  0.64   0.63897267
  0.64   0.63966444
  0.64   0.64019526
  0.64   0.64055958
  0.64   0.64075353
  0.64   0.64077491
  0.64   0.64062319
  0.64   0.64029941
  0.64   0.63980613
  0.64   0.63914726
  0.64   0.63832795
  0.64   0.63735441
  0.64   0.63623372
  0.64   0.63497369
  0.63   0.63358262
  0.63   0.63206917
  0.63   0.63044213
  0.63   0.62871033
  0.63   0.62688241
  0.63   0.62496679
  0.62   0.62297147
  0.62   0.62090402
  0.62   0.61877147
  0.62   0.61658031
  0.62   0.61433643
  0.61   0.61204517
  0.61   0.60971128
  0.61   0.60733902
  0.61   0.60493212
  0.60   0.60249391
  0.60   0.60002733
  0.60   0.59753498
  0.60   0.59501920
  0.59   0.59248209
  0.59   0.58992556
  0.59   0.58735134
  0.59   0.58476102
  0.58   0.58215603
  0.58   0.57953763
  0.58   0.57690692
  0.58   0.57426473
  0.57   0.57161165
  0.57   0.56894795
  0.57   0.56627350
  0.56   0.56358775
  0.56   0.56088964
  0.56   0.55817756
  0.56   0.55544934
  0.55   0.55270216
  0.55   0.54993257
  0.55   0.54713652
  0.55   0.54430932
  0.54   0.54144574
  0.54   0.53854008
  0.54   0.53558621
  0.53   0.53257776
  0.53   0.52950820
  0.53   0.52637103
  0.52   0.52315992
  0.52   0.51986891
  0.52   0.51649263
  0.51   0.51302643
  0.51   0.50946662
  0.51   0.50581063
  0.50   0.50205717
  0.50   0.49820642
  0.50   0.49426010
  0.49   0.49022158
  0.49   0.48609598
  0.48   0.48189012
  0.48   0.47761257
  0.48   0.47327355
  0.47   0.46888485
  0.47   0.46445970
  0.46   0.46001255
  0.46   0.45555888
  0.45   0.45111495
  0.45   0.44669753
  0.44   0.44232357
  0.44   0.43800993
  0.44   0.43377302
  0.43   0.42962850
  0.43   0.42559096
  0.42   0.42167364
  0.42   0.41788812
  0.42   0.41424414
  0.41   0.41074934
  0.41   0.40740915
  0.41   0.40422666
  0.40   0.40120256
  0.40   0.39833519
  0.40   0.39562055
  0.39   0.39305248
  0.39   0.39062276
  0.39   0.38832143
  0.39   0.38613701
  0.39   0.38405683
  0.38   0.38206740
  0.38   0.38015480
  0.38   0.37830504
  0.38   0.37650452
  0.38   0.37474039
  0.37   0.37300099
  0.37   0.37127614
  0.37   0.36955758
  0.37   0.36783917
  0.37   0.36611716
  0.37   0.36439038
  0.36   0.36266036
  0.36   0.36093136
  0.36   0.35921036
  0.36   0.35750693
  0.36   0.35583312
  0.36   0.35420317
  0.35   0.35263324
  0.35   0.35114103
  0.35   0.34974539
  0.35   0.34846584
  0.35   0.34732215
  0.35   0.34633376
  0.35   0.34551935
  0.35   0.34489631
  0.34   0.34448027
  0.34   0.34428464
  0.34   0.34432023
  0.34   0.34459491
  0.34   0.34511329
  0.35   0.34587657
  0.35   0.34688236
  0.35   0.34812464
  0.35   0.34959387
  0.35   0.35127703
  0.35   0.35315790
  0.35   0.35521733
  0.36   0.35743364
  0.36   0.35978305
  0.36   0.36224020
  0.36   0.36477866
  0.37   0.36737157
  0.37   0.36999222
  0.37   0.37261464
  0.37   0.37521424
  0.38   0.37776836
  0.38   0.38025683
  0.38   0.38266243
  0.38   0.38497131
  0.39   0.38717336
  0.39   0.38926242
  0.39   0.39123649
  0.39   0.39309771
  0.39   0.39485242
  0.40   0.39651090
  0.40   0.39808721
  0.40   0.39959878
  0.40   0.40106599
  0.40   0.40251167
  0.40   0.40396046
  0.40   0.40543823
  0.41   0.40697133
  0.41   0.40858592
  0.41   0.41030723
  0.41   0.41215886
  0.41   0.41416209
  0.42   0.41633525
  0.42   0.41869312
  0.42   0.42124645
  0.42   0.42400155
  0.43   0.42695996
  0.43   0.43011824
  0.43   0.43346792
  0.44   0.43699551
  0.44   0.44068264
  0.44   0.44450637
  0.45   0.44843956
  0.45   0.45245140
  0.45   0.45650796
  0.46   0.46057291
  0.46   0.46460827
  0.47   0.46857522
  0.47   0.47243495
  0.47   0.47614951
  0.48   0.47968268
  0.48   0.48300083
  0.48   0.48607370
  0.49   0.48887514
  0.49   0.49138378
  0.49   0.49358360
  0.49   0.49546437
  0.50   0.49702202
  0.50   0.49825886
  0.50   0.49918360
  0.50   0.49981137
  0.50   0.50016347
  0.50   0.50026706
  0.50   0.50015471
  0.50   0.49986379
  0.50   0.49943583
  0.50   0.49891572
  0.50   0.49835084
  0.50   0.49779017
  0.50   0.49728333
  0.50   0.49687962
  0.50   0.49662702
  0.50   0.49657129
  0.50   0.49675503
  0.50   0.49721685
  0.50   0.49799063
  0.50   0.49910485
  0.50   0.50058201
